"Site","Zone"
"N1","PNMS North"
"N3","PNMS North"
"N4","PNMS North"
"W1","DFZ West"
"W2","DFZ West"
"W3","DFZ West"
"W4","DFZ West"
"S2","PNMS South"
"S3","PNMS South"
"S4","PNMS South"
"S1","PNMS South"
