,Sample,String.x,Site,Zone,Type,Year,Family,Binomial,Common.name,MaxN,Biomass_g,Biomass_kg,String.y,Fish.,Lat.IN,Long.IN,Time.IN,Lat.OUT,Long.OUT,Time.OUT,Analyst.comments
120,PAL22_083,PAL22_17,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,597.02,0.59702,PAL22_17,Y,6.80442,133.27193,06:11,6.82958,133.28406,08:18,
121,PAL22_084,PAL22_17,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.03,3.00E-05,PAL22_17,Y,6.80571,133.2701,06:13,6.8308,133.28285,08:22,
122,PAL22_085,PAL22_17,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,0.00012,PAL22_17,Y,6.80692,133.2684,06:15,6.83205,133.28165,08:26,EM 2 min short 
123,PAL22_086,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_18,N,6.8483,133.25798,08:47,6.87427,133.26367,10:52,
124,PAL22_087,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_18,N,6.84886,133.25598,08:49,6.87554,133.26294,10:58,
125,PAL22_088,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_18,N,6.84976,133.25414,08:51,6.87694,133.26198,11:03,
126,PAL22_089,PAL22_18,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.17,0.00017,PAL22_18,Y,6.85063,133.25233,08:53,6.87851,133.26111,11:08,
127,PAL22_090,PAL22_18,S2,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_18,N,6.85179,133.25049,08:56,6.87999,133.26064,11:13,
128,PAL22_091,PAL22_19,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,4.00E-05,PAL22_19,Y,6.88855,133.2912,12:26,6.91663,133.30908,14:29,
129,PAL22_092,PAL22_19,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,164.26,0.16426,PAL22_19,Y,6.89107,133.29224,12:28,6.91927,133.30969,14:34,
130,PAL22_093,PAL22_19,S2,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,183.84,0.18384,PAL22_19,Y,6.89349,133.29317,12:30,6.92198,133.31049,14:39,High RMS 30 
131,PAL22_093,PAL22_19,S2,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,3,0.13,0.00013,PAL22_19,Y,6.89349,133.29317,12:30,6.92198,133.31049,14:39,High RMS 30 
132,PAL22_094,PAL22_19,S2,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_19,N,6.89583,133.29422,12:32,6.92497,133.31142,14:44,
133,PAL22_095,PAL22_19,S2,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_19,N,6.89814,133.29428,12:34,6.92742,133.31262,14:48,
134,PAL22_096,PAL22_20,S3,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.72,0.00072,PAL22_20,Y,6.28612,133.51295,05:54,6.29435,133.50211,07:55,EM 5 min short - High RMS 30 
135,PAL22_097,PAL22_20,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_20,N,6.28777,133.51126,05:57,6.29542,133.50102,07:58,
136,PAL22_098,PAL22_20,S3,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,0.00012,PAL22_20,Y,6.28975,133.50986,05:59,6.29679,133.4998,08:02,
137,PAL22_099,PAL22_20,S3,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,8.5,0.0085,PAL22_20,Y,6.29145,133.50813,06:01,6.29814,133.49838,08:05,
138,PAL22_100,PAL22_20,S3,PNMS South,Fish,2022,Istiophoridae,Makaira nigricans,blue marlin,1,36646.29,36.64629,PAL22_20,Y,6.29256,133.50618,06:04,6.29928,133.49712,08:08,No measurements. Makaira nigricans too far away. 
139,PAL22_101,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_21,Y,6.26222,133.49113,08:32,6.2674,133.47868,10:33,No fish EM 2 min short 
140,PAL22_102,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_21,N,6.26243,133.48891,08:35,6.26775,133.47776,10:36,
141,PAL22_103,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_21,N,6.26343,133.48692,08:37,6.26853,133.4756,10:40,
142,PAL22_104,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_21,N,6.26484,133.48524,08:39,6.26955,133.47609,10:43,
143,PAL22_105,PAL22_21,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_21,N,6.26595,133.48351,08:41,6.27031,133.47305,10:46,
144,PAL22_106,PAL22_22,S3,PNMS South,Fish,2022,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,346.95,0.34695,PAL22_22,Y,6.30324,133.47459,12:07,6.30257,133.46918,14:09,High RMS 30 
145,PAL22_107,PAL22_22,S3,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_22,N,6.3054,133.47397,12:09,6.30409,133.47791,14:14,
146,PAL22_108,PAL22_22,S3,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.12,0.00012,PAL22_22,Y,6.30747,133.4736,12:11,6.30578,133.46689,14:18,
147,PAL22_109,PAL22_22,S3,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,8,17.81,0.01781,PAL22_22,Y,6.30953,133.47311,12:13,6.30743,133.46614,14:22,Sync issue- managed to get some measures. High precision on blue marlin. 
148,PAL22_109,PAL22_22,S3,PNMS South,Fish,2022,Carangidae,Selar crumenophthalmus,bigeye scad,2,5.93,0.00593,PAL22_22,Y,6.30953,133.47311,12:13,6.30743,133.46614,14:22,Sync issue- managed to get some measures. High precision on blue marlin. 
149,PAL22_109,PAL22_22,S3,PNMS South,Fish,2022,Istiophoridae,Makaira nigricans,blue marlin,1,36646.29,36.64629,PAL22_22,Y,6.30953,133.47311,12:13,6.30743,133.46614,14:22,Sync issue- managed to get some measures. High precision on blue marlin. 
150,PAL22_110,PAL22_22,S3,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,2,9.95,0.00995,PAL22_22,Y,6.3116,133.47217,12:16,6.30833,133.46666,14:26,Ferdau not in good frame to measure. No measurements.
151,PAL22_111,PAL22_23,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,533.31,0.53331,PAL22_23,Y,6.05708,134.17146,05:53,6.05752,134.1671,07:55,
152,PAL22_111,PAL22_23,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,2.25,0.00225,PAL22_23,Y,6.05708,134.17146,05:53,6.05752,134.1671,07:55,
153,PAL22_111,PAL22_23,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,4.6,0.0046,PAL22_23,Y,6.05708,134.17146,05:53,6.05752,134.1671,07:55,
154,PAL22_112,PAL22_23,S4,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_23,N,6.05607,134.16943,05:56,6.05718,134.16592,07:59,
155,PAL22_113,PAL22_23,S4,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_23,N,6.055523,134.16743,05:58,6.0565,134.16516,08:03,
156,PAL22_114,PAL22_23,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,266.66,0.26666,PAL22_23,Y,6.05399,134.16576,06:00,6.05595,134.16431,08:07,Maculata not in both frames no measure
157,PAL22_115,PAL22_23,S4,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_23,N,6.05273,134.16397,06:03,6.0552,134.16353,08:11,
158,PAL22_116,PAL22_24,S4,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_24,N,6.02436,134.15918,08:32,6.02041,134.1528,10:32,
159,PAL22_117,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,2,10.03,0.01003,PAL22_24,Y,6.023,134.15739,08:34,6.01945,134.15169,10:36,
160,PAL22_118,PAL22_24,S4,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_24,N,6.02205,134.15558,08:36,6.01833,134.14981,10:40,
161,PAL22_119,PAL22_24,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,183.06,0.18306,PAL22_24,Y,6.02027,134.15437,08:39,6.0168,134.14825,10:44,EM 2 min short 
162,PAL22_119,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,6.12,0.00612,PAL22_24,Y,6.02027,134.15437,08:39,6.0168,134.14825,10:44,EM 2 min short 
163,PAL22_119,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,9,35.54,0.03554,PAL22_24,Y,6.02027,134.15437,08:39,6.0168,134.14825,10:44,EM 2 min short 
164,PAL22_120,PAL22_24,S4,PNMS South,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,183.06,0.18306,PAL22_24,Y,6.01826,134.15358,08:41,6.05136,134.14714,10:48,RHS only 35 min- unable to do measurement
165,PAL22_120,PAL22_24,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,3.95,0.00395,PAL22_24,Y,6.01826,134.15358,08:41,6.05136,134.14714,10:48,RHS only 35 min- unable to do measurement
166,PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,4.33,0.00433,PAL22_25,Y,6.02506,134.12862,12:03,6.00789,134.11687,14:02,EM 1 min short - High RMS- 3x Hippurus. Barracuda too far away to measure. 
167,PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,11.78,0.01178,PAL22_25,Y,6.02506,134.12862,12:03,6.00789,134.11687,14:02,EM 1 min short - High RMS- 3x Hippurus. Barracuda too far away to measure. 
168,PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,3,11674.06,11.67406,PAL22_25,Y,6.02506,134.12862,12:03,6.00789,134.11687,14:02,EM 1 min short - High RMS- 3x Hippurus. Barracuda too far away to measure. 
169,PAL22_121,PAL22_25,S4,PNMS South,Fish,2022,Sphyraenidae,Sphyraena barracuda,great barracuda,1,2420.89,2.42089,PAL22_25,Y,6.02506,134.12862,12:03,6.00789,134.11687,14:02,EM 1 min short - High RMS- 3x Hippurus. Barracuda too far away to measure. 
170,PAL22_122,PAL22_25,S4,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,1,3955.85,3.95585,PAL22_25,Y,6.02327,134.12709,12:05,6.00639,134.11557,14:07,
171,PAL22_123,PAL22_25,S4,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,2,8107.76,8.10776,PAL22_25,Y,6.02193,134.12524,12:08,6.00463,134.11452,14:11,
172,PAL22_125,PAL22_25,S4,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_25,N,6.01882,134.12154,12:12,6.00167,134.11186,14:19,
173,PAL22_126,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,11,40.68,0.04068,PAL22_26,Y,6.48549,133.80272,05:51,6.47213,133.78148,07:52,
174,PAL22_127,PAL22_26,S1,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,2,2.44,0.00244,PAL22_26,Y,6.48424,133.800635,05:53,6.47187,133.77939,07:56,Had to re-sync where fish were as they were out of sync again. RMS good.
175,PAL22_128,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,3,14.57,0.01457,PAL22_26,Y,6.48297,133.79895,05:55,6.4714,133.77719,08:00,
176,PAL22_129,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,1,3.01,0.00301,PAL22_26,Y,6.48181,133.79669,05:57,6.47073,133.77538,08:03,No measurements obtained
177,PAL22_130,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Caranx sp,Caranx trevally,1,5.54,0.00554,PAL22_26,Y,6.48012,133.79454,05:59,6.46957,133.77397,08:06,ID check Decapterus sp.
178,PAL22_130,PAL22_26,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,16,42.87,0.04287,PAL22_26,Y,6.48012,133.79454,05:59,6.46957,133.77397,08:06,ID check Decapterus sp.
179,PAL22_130,PAL22_26,S1,PNMS South,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,4,16078.49,16.07849,PAL22_26,Y,6.48012,133.79454,05:59,6.46957,133.77397,08:06,ID check Decapterus sp.
180,PAL22_131,PAL22_27,S1,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_27,N,6.46905,133.74163,08:23,6.46445,133.73505,10:24,"LHS camera freezes at around 1:25, returns at 1:32 (so loses 7 minutes).."
181,PAL22_132,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,13,17.46,0.01746,PAL22_27,Y,6.46727,133.74622,08:25,6.46341,133.73363,10:27,PM Good. LHS camera freezes at 26 minutes returns back at 33 minutes. 
182,PAL22_133,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,23,80.76,0.08076,PAL22_27,Y,6.46579,133.74471,08:27,6.4621,133.73203,10:30,RHS or LHS goes out of sync by multiple min. Resynced by hand halfway through. RMS good. EM 1 min short
183,PAL22_133,PAL22_27,S1,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.49,0.00049,PAL22_27,Y,6.46579,133.74471,08:27,6.4621,133.73203,10:30,RHS or LHS goes out of sync by multiple min. Resynced by hand halfway through. RMS good. EM 1 min short
184,PAL22_134,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,32,70.93,0.07093,PAL22_27,Y,6.46412,133.74313,08:29,6.46049,133.7308,10:33,Goes out of sync by multiple min. Had to measure non-MaxN frame. EM  5 min short 
185,PAL22_135,PAL22_27,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,50,161.54,0.16154,PAL22_27,Y,6.46236,133.74214,08:31,6.45873,133.73026,10:35,
186,PAL22_136,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,39,95.61,0.09561,PAL22_28,Y,6.4754,133.71179,12:06,6.46702,133.69759,14:06,
187,PAL22_137,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,32,71.09,0.07109,PAL22_28,Y,6.47367,133.71059,12:08,6.46497,133.69661,14:13,
188,PAL22_137,PAL22_28,S1,PNMS South,Fish,2022,Molidae,Masturus lanceolatus,sharptail mola,1,134051.6,134.0516,PAL22_28,Y,6.47367,133.71059,12:08,6.46497,133.69661,14:13,
189,PAL22_137,PAL22_28,S1,PNMS South,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.09,9.00E-05,PAL22_28,Y,6.47367,133.71059,12:08,6.46497,133.69661,14:13,
190,PAL22_138,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,37,65.08,0.06508,PAL22_28,Y,6.47191,133.70964,12:10,6.46297,133.6955,14:18,
191,PAL22_139,PAL22_28,S1,PNMS South,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,10,22.74,0.02274,PAL22_28,Y,6.47012,133.70836,12:12,6.46076,133.69447,14:23,
192,PAL22_140,PAL22_28,S1,PNMS South,Fish,2022,None,None,None,0,0,0,PAL22_28,N,6.46838,133.70718,12:14,6.45912,133.69386,14:26,No fish
