Sample,Date,Site_Meta,Zone_Meta,Depth,Duration
PAL22_101,10 20 2022,S3,PNMS South,2200,02:03:03
PAL22_102,10 20 2022,S3,PNMS South,2200,02:03:59
PAL22_103,10 20 2022,S3,PNMS South,2200,02:05:31
PAL22_104,10 20 2022,S3,PNMS South,2200,02:06:51
PAL22_105,10 20 2022,S3,PNMS South,2200,02:07:41
PAL22_106,10 20 2022,S3,PNMS South,2000,02:04:29
PAL22_107,10 20 2022,S3,PNMS South,2000,02:04:43
PAL22_108,10 20 2022,S3,PNMS South,2000,02:06:33
PAL22_109,10 20 2022,S3,PNMS South,2000,02:07:59
PAL22_110,10 20 2022,S3,PNMS South,2000,02:07:03
PAL22_111,10 21 2022,S4,PNMS South,2000,02:03:51
PAL22_112,10 21 2022,S4,PNMS South,2000,02:00:48
PAL22_113,10 21 2022,S4,PNMS South,2000,02:00:31
PAL22_114,10 21 2022,S4,PNMS South,2000,02:06:19
PAL22_115,10 21 2022,S4,PNMS South,2000,02:01:28
PAL22_116,10 21 2022,S4,PNMS South,3400,02:02:28
PAL22_117,10 21 2022,S4,PNMS South,3400,02:04:37
PAL22_118,10 21 2022,S4,PNMS South,3400,02:06:22
PAL22_119,10 21 2022,S4,PNMS South,3400,02:03:57
PAL22_120,10 21 2022,S4,PNMS South,3400,02:03:47
PAL22_121,10 21 2022,S4,PNMS South,4400,02:02:02
PAL22_122,10 21 2022,S4,PNMS South,4400,02:04:10
PAL22_123,10 21 2022,S4,PNMS South,4400,02:05:53
PAL22_124,10 21 2022,S4,PNMS South,4400,02:05:49
PAL22_125,10 21 2022,S4,PNMS South,4400,02:08:54
PAL22_126,10 22 2022,S1,PNMS South,1200,02:03:30
PAL22_127,10 22 2022,S1,PNMS South,1200,02:04:43
PAL22_128,10 22 2022,S1,PNMS South,1200,02:05:07
PAL22_129,10 22 2022,S1,PNMS South,1200,02:07:30
PAL22_130,10 22 2022,S1,PNMS South,1200,02:03:29
PAL22_131,10 22 2022,S1,PNMS South,2600,02:03:39
PAL22_132,10 22 2022,S1,PNMS South,2600,02:04:16
PAL22_133,10 22 2022,S1,PNMS South,2600,02:00:16
PAL22_134,10 22 2022,S1,PNMS South,2600,02:06:15
PAL22_135,10 22 2022,S1,PNMS South,2600,02:01:24
PAL22_136,10 22 2022,S1,PNMS South,2600,02:04:30
PAL22_137,10 22 2022,S1,PNMS South,2600,02:06:53
PAL22_138,10 22 2022,S1,PNMS South,2600,02:07:25
PAL22_139,10 22 2022,S1,PNMS South,2600,02:08:31
PAL22_140,10 22 2022,S1,PNMS South,2600,02:06:15
